-,25/11/2016,00:48:10,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,00:48:18,Zod,172.30.120.139,,,DC++ 0.831,194.73 GiBs,A,0.005
+,25/11/2016,00:48:25,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,00:55:20,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
+,25/11/2016,00:59:53,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,01:00:17,Zod,172.30.120.139,,,DC++ 0.831,194.73 GiBs,A,0.005
-,25/11/2016,01:03:42,RAKESHK,172.30.100.155,,,DC++ 0.851,97.37 GiBs,P,0.005
-,25/11/2016,01:05:55,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,01:07:54,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,01:09:05,youtube,172.30.100.61,,,DC++ 0.830,66.05 GiBs,A,0.005
-,25/11/2016,01:09:17,youtube,172.30.100.61,,,DC++ 0.830,66.05 GiBs,P,0.005
+,25/11/2016,01:15:01,Gondor,172.30.144.117,,,ApexDC++ 1.6.0,42.56 GiBs,A,0.1
-,25/11/2016,01:15:54,Husband,172.30.107.72,,,DC++ 0.831,57.97 GiBs,P,0.005
-,25/11/2016,01:16:17,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
-,25/11/2016,01:31:50,VENCEDOR,172.30.120.168,,,DC++ 0.843,279.65 GiBs,P,5
+,25/11/2016,01:32:58,ghanta,172.30.106.159,,,DC++ 0.851,46.96 GiBs,P,0.005
+,25/11/2016,01:37:36,sunilkumar,172.30.101.91,,,DC++ 0.862,31.14 GiBs,A,0.005
-,25/11/2016,01:40:20,ghanta,172.30.106.159,,,DC++ 0.851,46.96 GiBs,P,0.005
-,25/11/2016,01:44:03,sunilkumar,172.30.101.91,,,DC++ 0.862,31.14 GiBs,P,0.005
-,25/11/2016,01:45:44,sumitnitw,172.30.144.87, ,,EiskaltDC++ 2.2.9,23.56 GiBs,A,20
-,25/11/2016,01:54:21,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,01:56:23,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,01:56:51,you,172.30.150.166,,,DC++ 0.851,24.99 GiBs,P,0.005
-,25/11/2016,02:05:34,you,172.30.150.166,,,DC++ 0.851,24.99 GiBs,P,0.005
+,25/11/2016,02:07:11,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,02:09:30,fivestar,172.30.120.93,,,DC++ 0.831,25.56 GiBs,A,1
+,25/11/2016,02:15:23,ironman2,172.30.120.167,,,DC++ 0.851,22.88 GiBs,A,0.005
+,25/11/2016,02:15:25,Nishito,172.30.106.176,,nikkyrocks1@gmail.com,DC++ 0.828,243.53 GiBs,A,1000
-,25/11/2016,02:15:42,fivestar,172.30.120.93,,,DC++ 0.831,25.56 GiBs,P,1
+,25/11/2016,02:16:12,ghanta,172.30.106.159,,,DC++ 0.851,46.96 GiBs,P,0.005
-,25/11/2016,02:16:16,Nishito,172.30.106.176,,nikkyrocks1@gmail.com,DC++ 0.828,243.53 GiBs,A,1000
+,25/11/2016,02:17:29,fivestar,172.30.121.242,,,DC++ 0.831,25.56 GiBs,P,1
-,25/11/2016,02:18:04,ghanta,172.30.106.159,,,DC++ 0.851,46.96 GiBs,P,0.005
-,25/11/2016,02:18:16,ironman2,172.30.120.167,,,DC++ 0.851,22.88 GiBs,A,0.005
-,25/11/2016,02:24:09,yoo,172.30.144.187,,,ApexDC++ 1.6.2,38.54 GiBs,P,1000
-,25/11/2016,02:29:00,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,02:30:43,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,02:36:39,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,02:38:06,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,02:45:27,fivestar,172.30.121.242,,,DC++ 0.831,25.56 GiBs,P,1
+,25/11/2016,02:49:06,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,A,0.005
+,25/11/2016,02:54:50,#pilot,172.30.101.236,,,DC++ 0.851,35.87 GiBs,A,0.005
-,25/11/2016,02:55:18,#pilot,172.30.101.236,,,DC++ 0.851,35.87 GiBs,A,0.005
-,25/11/2016,02:57:31,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
+,25/11/2016,02:57:32,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
-,25/11/2016,02:58:58,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
+,25/11/2016,02:58:59,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
-,25/11/2016,03:29:39,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,03:43:52,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,03:45:25,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,03:50:52,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,03:54:13,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,03:56:05,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,04:07:18,ertty,172.30.106.110,,,ApexDC++ 1.6.0,48.24 GiBs,A,0.1
-,25/11/2016,04:08:32,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,04:32:17,dazzler,172.30.148.213,,,ApexDC++ 1.6.2,81.46 GiBs,P,0.1
+,25/11/2016,04:33:46,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,04:35:22,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,04:35:46,uchiha,172.30.120.242,nopes,,DC++ 0.831,44.52 GiBs,P,0.005
+,25/11/2016,04:37:14,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,04:59:12,keVLar,172.30.149.37,,,DC++ 0.860,107.44 GiBs,A,0.005
-,25/11/2016,04:59:34,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
+,25/11/2016,05:12:28,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,05:17:43,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
+,25/11/2016,05:20:03,kanishmyhub124,172.30.122.74,,,DC++ 0.851,27.68 GiBs,A,0.005
+,25/11/2016,05:20:38,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,05:22:01,kanishmyhub124,172.30.122.74,,,DC++ 0.851,27.68 GiBs,A,0.005
-,25/11/2016,05:48:40,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,06:19:10,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,06:20:52,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,06:27:43,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,06:28:56,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,06:38:18,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,06:46:43,qwertr,172.30.107.95,qwewe,awerdfv,DC++ 0.862,153.99 GiBs,P,0.005
-,25/11/2016,06:49:40,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,06:51:00,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,06:52:43,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,06:53:23,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,06:54:45,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,06:58:12,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,07:02:44,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
-,25/11/2016,07:02:44,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,07:03:57,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,07:15:05,luffypi,172.30.100.52,,,DC++ 0.831,26.69 GiBs,P,0.005
+,25/11/2016,07:30:28,TheGreenArrow,172.30.106.52,,,DC++ 0.843,64.99 GiBs,A,0.005
+,25/11/2016,07:35:32,@hmmm,172.30.129.29,,,DC++ 0.843,65.70 GiBs,A,0.005
-,25/11/2016,07:36:58,@hmmm,172.30.129.29,,,DC++ 0.843,65.70 GiBs,P,0.005
+,25/11/2016,07:46:07,vikky,172.30.100.197,,,DC++ 0.863,21.35 GiBs,A,0.005
-,25/11/2016,07:47:56,vikky,172.30.100.197,,,DC++ 0.863,21.35 GiBs,P,0.005
-,25/11/2016,07:53:58,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
-,25/11/2016,07:58:13,TheGreenArrow,172.30.106.52,,,DC++ 0.843,64.99 GiBs,A,0.005
+,25/11/2016,08:08:33,SHUB,172.30.107.175,,,DC++ 0.851,93.63 GiBs,P,0.005
-,25/11/2016,08:10:45,SHUB,172.30.107.175,,,DC++ 0.851,93.63 GiBs,P,0.005
-,25/11/2016,08:12:44,rajizzzzz,172.30.106.99,,,DC++ 0.843,51.66 GiBs,A,0.005
+,25/11/2016,08:17:55,skywalker2795,172.30.107.229,,,DC++ 0.851,1.21 TiBs,A,0.5
-,25/11/2016,08:18:04,skywalker2795,172.30.107.229,,,DC++ 0.851,1.21 TiBs,A,0.5
+,25/11/2016,08:19:29,dazzler,172.30.148.213,,,ApexDC++ 1.6.2,81.46 GiBs,A,0.1
+,25/11/2016,08:25:01,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
-,25/11/2016,08:25:10,asdf;lkj,172.30.101.239,,,DC++ 0.862,37.59 GiBs,P,0.005
-,25/11/2016,08:25:27,Gondor,172.30.144.117,,,ApexDC++ 1.6.0,42.56 GiBs,A,0.1
-,25/11/2016,08:31:45,dazzler,172.30.148.213,,,ApexDC++ 1.6.2,81.46 GiBs,P,0.1
-,25/11/2016,08:42:44,TheOne,172.30.106.223,,,DC++ 0.843,205.35 GiBs,A,0.2
+,25/11/2016,08:43:20,VK,172.30.100.236,,,DC++ 0.831,29.40 GiBs,A,0.005
-,25/11/2016,08:43:25,VK,172.30.100.236,,,DC++ 0.831,29.40 GiBs,A,0.005
+,25/11/2016,08:52:38,TheGreenArrow,172.30.106.52,,,DC++ 0.843,64.99 GiBs,A,0.005
-,25/11/2016,09:17:55,TheGreenArrow,172.30.106.52,,,DC++ 0.843,64.99 GiBs,A,0.005
+,25/11/2016,09:21:38,TheGreenArrow,172.30.106.52,,,DC++ 0.843,64.99 GiBs,A,0.005
+,25/11/2016,09:22:47,luffypi,172.30.100.52,,,DC++ 0.831,26.69 GiBs,P,0.005
+,25/11/2016,09:29:13,Praneeth,172.30.137.8,,nimmapraneethreddy@gmail.com,DC++ 0.863,22.11 GiBs,P,0.005
+,25/11/2016,09:37:23,SRC,172.30.122.53,,,DC++ 0.851,23.71 GiBs,A,50
-,25/11/2016,09:39:04,SRC,172.30.122.53,,,DC++ 0.851,23.71 GiBs,P,50
+,25/11/2016,09:39:06,SRC,172.30.122.53,,,DC++ 0.851,23.71 GiBs,P,50
-,25/11/2016,09:39:46,SRC,172.30.122.53,,,DC++ 0.851,23.71 GiBs,P,50
+,25/11/2016,09:44:47,RAKESHK,172.30.100.155,,,DC++ 0.851,97.37 GiBs,A,0.005
-,25/11/2016,09:50:08,Praneeth,172.30.137.8,,nimmapraneethreddy@gmail.com,DC++ 0.863,22.11 GiBs,P,0.005
+,25/11/2016,09:52:24,HI,172.20.37.181,,,DC++ 0.861,38.43 GiBs,A,11 KiB/s
-,25/11/2016,09:56:12,ertty,172.30.106.110,,,ApexDC++ 1.6.0,48.24 GiBs,A,0.1
+,25/11/2016,09:57:27,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
+,25/11/2016,10:09:29,O'Connor,172.30.106.83,Anime,,DC++ 0.851,270.56 GiBs,A,0.005
-,25/11/2016,10:16:56,HI,172.20.37.181,,,DC++ 0.861,38.43 GiBs,A,11 KiB/s
+,25/11/2016,10:21:49,HI,172.20.37.181,,,DC++ 0.861,38.43 GiBs,A,11 KiB/s
+,25/11/2016,10:40:47,Hitesh,172.30.136.176,,,DC++ 0.811,160.69 GiBs,P,1
-,25/11/2016,10:48:38,RAKESHK,172.30.100.155,,,DC++ 0.851,97.37 GiBs,P,0.005
+,25/11/2016,10:48:38,rajizzzzz,172.30.106.99,,,DC++ 0.843,51.66 GiBs,A,0.005
-,25/11/2016,10:49:57,O'Connor,172.30.106.83,Anime,,DC++ 0.851,270.56 GiBs,A,0.005
-,25/11/2016,10:56:30,luffypi,172.30.100.52,,,DC++ 0.831,26.69 GiBs,P,0.005
+,25/11/2016,10:58:21,luffypi,172.30.100.52,,,DC++ 0.831,26.69 GiBs,P,0.005
+,25/11/2016,11:01:15,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,A,0.01
+,25/11/2016,11:05:34,lappi,172.30.100.128,ajay,,DC++ 0.851,138.16 GiBs,A,1
-,25/11/2016,11:08:10,lappi,172.30.100.128,ajay,,DC++ 0.851,138.16 GiBs,P,1
-,25/11/2016,11:12:58,luffypi,172.30.100.52,,,DC++ 0.831,26.69 GiBs,P,0.005
-,25/11/2016,11:17:06,Hitesh,172.30.136.176,,,DC++ 0.811,160.69 GiBs,P,1
+,25/11/2016,11:17:07,Hitesh,172.30.136.176,,,DC++ 0.811,160.69 GiBs,P,1
+,25/11/2016,11:20:02,Bob10,172.30.120.66,,,DC++ 0.851,287.71 GiBs,A,0.005
+,25/11/2016,11:26:05,Zombie123,172.20.56.21,,,DC++ 0.850,222.35 GiBs,A,0.005
-,25/11/2016,11:26:28,Hitesh,172.30.136.176,,,DC++ 0.811,160.69 GiBs,P,1
-,25/11/2016,11:40:24,rajizzzzz,172.30.106.99,,,DC++ 0.843,51.66 GiBs,A,0.005
+,25/11/2016,11:41:54,justidiotnkj,172.30.101.178,,,DC++ 0.851,111.07 GiBs,A,0.005
+,25/11/2016,11:46:17,dazzler,172.30.148.213,,,ApexDC++ 1.6.2,81.46 GiBs,A,0.1
+,25/11/2016,11:51:24,kiran,172.30.101.42,,,DC++ 0.830,59.76 GiBs,A,0.005
-,25/11/2016,11:54:49,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
+,25/11/2016,11:54:50,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
-,25/11/2016,11:55:30,justidiotnkj,172.30.101.178,,,DC++ 0.851,113.98 GiBs,P,0.005
+,25/11/2016,11:55:31,justidiotnkj,172.30.101.178,,,DC++ 0.851,117.59 GiBs,P,0.005
-,25/11/2016,11:55:38,justidiotnkj,172.30.101.178,,,DC++ 0.851,117.59 GiBs,P,0.005
+,25/11/2016,11:57:12,9GAG,172.30.100.174,,,DC++ 0.831,331.86 GiBs,P,0.005
-,25/11/2016,11:57:31,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
-,25/11/2016,11:57:46,9GAG,172.30.100.174,,,DC++ 0.831,331.86 GiBs,P,0.005
+,25/11/2016,11:59:35,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
+,25/11/2016,12:00:08,manoj,172.20.44.220,,,DC++ 0.851,41.81 GiBs,A,0.005
-,25/11/2016,12:00:46,kiran,172.30.101.42,,,DC++ 0.830,59.76 GiBs,A,0.005
+,25/11/2016,12:07:36,Hello,172.30.104.106,,,DC++ 0.828,56.61 GiBs,P,1000
-,25/11/2016,12:07:58,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
+,25/11/2016,12:08:58,HP2222,172.30.104.115,,,DC++ 0.851,20.90 GiBs,P,0.005
+,25/11/2016,12:10:57,Zod,172.30.120.139,,,DC++ 0.831,194.73 GiBs,A,0.005
-,25/11/2016,12:11:17,Zod,172.30.120.139,,,DC++ 0.831,194.73 GiBs,A,0.005
-,25/11/2016,12:14:33,HI,172.20.37.181,,,DC++ 0.861,40.61 GiBs,A,11 KiB/s
-,25/11/2016,12:22:44,HP2222,172.30.104.115,,,DC++ 0.851,20.90 GiBs,P,0.005
+,25/11/2016,12:23:41,HP2222,172.30.104.115,,,DC++ 0.851,20.90 GiBs,P,0.005
-,25/11/2016,12:28:48,manoj,172.20.44.220,,,DC++ 0.851,41.81 GiBs,P,0.005
+,25/11/2016,12:38:36,qwertr,172.30.107.95,qwewe,awerdfv,DC++ 0.862,153.99 GiBs,A,0.005
+,25/11/2016,12:40:14,rrr,172.30.103.92,,,DC++ 0.851,121.04 GiBs,A,0.005
+,25/11/2016,12:44:33,TheOne,172.30.106.223,,,DC++ 0.843,205.35 GiBs,A,0.2
+,25/11/2016,12:48:21,uglytruth,172.30.129.137,,,DC++ 0.851,21.97 GiBs,A,0.005
-,25/11/2016,12:49:25,uglytruth,172.30.129.137,,,DC++ 0.851,21.97 GiBs,P,0.005
-,25/11/2016,13:00:38,dazzler,172.30.148.213,,,ApexDC++ 1.6.2,81.46 GiBs,P,0.1
+,25/11/2016,13:00:54,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
-,25/11/2016,13:01:57,rrr,172.30.103.92,,,DC++ 0.851,121.04 GiBs,P,0.005
+,25/11/2016,13:03:24,rrr,172.30.103.92,,,DC++ 0.851,121.04 GiBs,P,0.005
-,25/11/2016,13:06:48,rrr,172.30.103.92,,,DC++ 0.851,121.04 GiBs,P,0.005
+,25/11/2016,13:06:58,rrr,172.30.103.92,,,DC++ 0.851,121.04 GiBs,P,0.005
-,25/11/2016,13:07:07,tardis,172.30.101.95,,,DC++ 0.851,103.83 GiBs,P,0.005
-,25/11/2016,13:07:09,kotoamatsukami,172.30.106.69,,,DC++ 0.851,20.78 GiBs,A,1000
+,25/11/2016,13:16:05,goldenstates,172.30.103.24,,,DC++ 0.843,160.08 GiBs,A,0.005
+,25/11/2016,13:17:52,roger,172.30.102.178,,,DC++ 0.851,33.39 GiBs,P,0.005
-,25/11/2016,13:19:51,roger,172.30.102.178,,,DC++ 0.851,33.39 GiBs,P,0.005
+,25/11/2016,13:20:34,GOKU,172.30.121.14,,,DC++ 0.851,106.01 GiBs,P,0.005
+,25/11/2016,13:21:14,Argetlam,172.30.105.48,,,DC++ 0.843,285.99 GiBs,A,0.005
+,25/11/2016,13:21:20,Zod,172.30.120.139,,,DC++ 0.831,193.59 GiBs,A,0.005
+,25/11/2016,13:21:45,ghanta,172.30.106.159,,,DC++ 0.851,46.96 GiBs,P,0.005
+,25/11/2016,13:22:02,roger,172.30.102.178,,,DC++ 0.863,33.39 GiBs,A,0.005
-,25/11/2016,13:22:07,Zombie123,172.20.56.21,,,DC++ 0.850,222.35 GiBs,P,0.005
-,25/11/2016,13:24:59,Bob10,172.30.120.66,,,DC++ 0.851,283.32 GiBs,A,0.005
+,25/11/2016,13:25:24,bravo,172.30.120.148,,,DC++ 0.851,36.03 GiBs,A,0.005
-,25/11/2016,13:25:53,roger,172.30.102.178,,,DC++ 0.863,33.39 GiBs,P,0.005
-,25/11/2016,13:27:21,Zod,172.30.120.139,,,DC++ 0.831,193.59 GiBs,A,0.005
-,25/11/2016,13:32:58,goldenstates,172.30.103.24,,,DC++ 0.843,160.08 GiBs,A,0.005
+,25/11/2016,13:35:59,muller,172.30.104.170,,,DC++ 0.851,30.67 GiBs,P,0.005
-,25/11/2016,13:39:59,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,13:39:59,muller,172.30.104.170,,,DC++ 0.851,30.67 GiBs,P,0.005
+,25/11/2016,13:40:27,DEVESH,172.30.104.142,,,DC++ 0.851,42.33 GiBs,A,0.005
+,25/11/2016,13:40:40,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,13:41:05,DEVESH,172.30.104.142,,,DC++ 0.851,42.33 GiBs,A,0.005
+,25/11/2016,13:41:10,DEVESH,172.30.104.142,,,DC++ 0.851,42.33 GiBs,A,0.005
+,25/11/2016,13:41:25,muller,172.30.104.170,,,DC++ 0.851,30.67 GiBs,P,0.005
+,25/11/2016,13:46:46,sg,172.30.148.56,,,DC++ 0.860,83.45 GiBs,A,0.005
+,25/11/2016,13:46:58,221B,172.30.120.184,,,DC++ 0.851,102.67 GiBs,A,0.005
-,25/11/2016,13:49:22,rrr,172.30.103.92,,,DC++ 0.851,121.08 GiBs,P,0.005
+,25/11/2016,13:49:26,rrr,172.30.103.92,,,DC++ 0.851,121.08 GiBs,P,0.005
-,25/11/2016,13:50:05,221B,172.30.120.184,,,DC++ 0.851,102.67 GiBs,A,0.005
-,25/11/2016,13:50:26,Clown,172.30.107.3,,,DC++ 0.851,69.08 GiBs,P,0.005
-,25/11/2016,13:50:26,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
+,25/11/2016,13:51:44,1408,172.30.121.64,,,DC++ 0.851,48.43 GiBs,P,0.005
-,25/11/2016,13:56:07,muller,172.30.104.170,,,DC++ 0.851,30.67 GiBs,P,0.005
-,25/11/2016,13:59:40,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
-,25/11/2016,14:00:26,DEVESH,172.30.104.142,,,DC++ 0.851,54.14 GiBs,P,0.005
+,25/11/2016,14:00:30,DEVESH,172.30.104.142,,,DC++ 0.851,54.14 GiBs,A,0.005
+,25/11/2016,14:01:21,roger,172.30.102.178,,,DC++ 0.863,33.39 GiBs,A,0.005
-,25/11/2016,14:01:40,DEVESH,172.30.104.142,,,DC++ 0.851,54.14 GiBs,A,0.005
-,25/11/2016,14:02:34,roger,172.30.102.178,,,DC++ 0.863,33.39 GiBs,P,0.005
-,25/11/2016,14:03:00,bravo,172.30.120.148,,,DC++ 0.851,36.03 GiBs,A,0.005
+,25/11/2016,14:03:33,yoo,172.30.144.187,,,ApexDC++ 1.6.2,38.54 GiBs,P,1000
+,25/11/2016,14:06:37,luffypi,172.30.100.52,,,DC++ 0.831,26.69 GiBs,P,0.005
+,25/11/2016,14:06:40,Zombie123,172.20.56.21,,,DC++ 0.850,222.35 GiBs,P,0.005
+,25/11/2016,14:08:15,gogogo,172.30.101.28,,,ApexDC++ 1.6.2,28.08 GiBs,A,0.1
+,25/11/2016,14:08:21,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
+,25/11/2016,14:09:52,goldenstates,172.30.103.24,,,DC++ 0.843,160.08 GiBs,A,0.005
+,25/11/2016,14:10:08,muller,172.30.104.170,,,DC++ 0.851,30.67 GiBs,P,0.005
+,25/11/2016,14:15:31,9527flame,172.30.104.105,,manish9527@gmail.com,DC++ 0.842,81.24 GiBs,A,10
-,25/11/2016,14:15:47,dbbb189,172.30.102.192,,,DC++ 0.851,178.49 GiBs,P,0.01
-,25/11/2016,14:15:57,9527flame,172.30.104.105,,manish9527@gmail.com,DC++ 0.842,81.24 GiBs,A,10
-,25/11/2016,14:20:10,muller,172.30.104.170,,,DC++ 0.851,30.67 GiBs,P,0.005
+,25/11/2016,14:24:11,SRC,172.30.122.53,,,DC++ 0.851,23.71 GiBs,A,50
-,25/11/2016,14:25:32,yoo,172.30.144.187,,,ApexDC++ 1.6.2,38.54 GiBs,P,1000
+,25/11/2016,14:25:32,221B,172.30.120.184,,,DC++ 0.863,23.13 GiBs,P,0.005
+,25/11/2016,14:27:21,kudo,172.30.102.97,,,DC++ 0.862,28.11 GiBs,A,0.005
+,25/11/2016,14:27:22,kiru,172.20.23.55,,bhanodaya@nitw.ac.in,DC++ 0.782,25.39 GiBs,A,0.005
-,25/11/2016,14:27:40,rrr,172.30.103.92,,,DC++ 0.851,121.08 GiBs,P,0.005
+,25/11/2016,14:28:23,rrr,172.30.103.92,,,DC++ 0.851,121.08 GiBs,P,0.005
+,25/11/2016,14:29:59,Zod,172.30.120.139,,,DC++ 0.831,193.59 GiBs,A,0.005
-,25/11/2016,14:30:20,Zod,172.30.120.139,,,DC++ 0.831,193.59 GiBs,A,0.005
+,25/11/2016,14:30:22,ann,172.30.121.189,,,DC++ 0.862,86.32 GiBs,A,0.005
-,25/11/2016,14:31:27,kudo,172.30.102.97,,,DC++ 0.862,28.11 GiBs,P,0.005
+,25/11/2016,14:31:55,kudo,172.30.102.97,,,DC++ 0.863,28.11 GiBs,A,0.005
-,25/11/2016,14:32:08,221B,172.30.120.184,,,DC++ 0.863,23.13 GiBs,P,0.005
